ID,Customer.Code,Sentimental.Score,text
111,15001550,-1,"Don’t spend it, if you’ll miss it. @Chase @BankofAmerica @WellsFargo @NavyFederal"
112,15006770,0,"RT @LongIslandNets: .@BankofAmerica is donating $300 for every three point basket made during today’s game to General Needs

The squad made…"
113,15006078,-1,"RT @Jordano36201496: @BankofAmerica please, stop doing it. I can’t call you to ask to unlock my account for suspected of fraud. This happen…"
114,15002568,0,RT @germanito006: Need access to my money and @BankofAmerica blocked my card for no reason. Called and approx wait time was 11m. I was on h…
115,15003531,0,"RT @LongIslandNets: .@BankofAmerica is donating $300 for every three point basket made during today’s game to General Needs

The squad made…"
116,15004247,0,".@BankofAmerica is donating $300 for every three point basket made during today’s game to General Needs

The squad… https://t.co/u878Hm2rt7"
117,15001655,0,@Mr_Eight5nine @BankofAmerica Damn.. they were trying to vacate somewhere..
118,15005699,-1,"@CSJr_ @BankofAmerica I need my money back first, damn near left that acct with nothing $759 transaction"
119,15006428,0,@Mr_Eight5nine @BankofAmerica Are you gonna stay with them?
120,15003686,0,RT @adena_andrews: @BankofAmerica I've been on hold for 38 mins. WTH? https://t.co/Ws4UoDzfwr
121,15004110,-1,"RT @Jordano36201496: @BankofAmerica please, stop doing it. I can’t call you to ask to unlock my account for suspected of fraud. This happen…"
122,15001713,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
123,15003835,0,@CSJr_ @BankofAmerica Fam I’m pissed
124,15004618,0,"For real, ask my high school coach about how a guy got his chest caved in by me, it looked like he died when he hit… https://t.co/wJVkYMd4LN"
125,15002495,0,"@BankofAmerica Hackers using this below link to phish for account info. Has the standard BofA header and footer.

https://t.co/O2bK5QlEIg"
126,15001354,0,@Chase @BankofAmerica Tecently a lot of sca Mets have taken your customers identity and their money at my job and I… https://t.co/k7AV7ipXt7
127,15006804,0,RT @ShannonKetcher2: @Legalator @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe78176224 @Isabel1170 @Din_SF…
128,15005645,0,RT @WFB_Fraud: @StayHomeAmerica @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
129,15003951,0,RT @truthsearch1957: @AJOKERONJACK @ShannonKetcher2 @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
130,15001640,-1,"@BankofAmerica please, stop doing it. I can’t call you to ask to unlock my account for suspected of fraud. This hap… https://t.co/4a9pIhKqjT"
131,15004017,0,@BankofAmerica I've been on hold for 38 mins. WTH? https://t.co/Ws4UoDzfwr
132,15000896,0,@Legalator @StayHomeAmerica @WFB_Fraud @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK… https://t.co/5p38vxQXfs
133,15007277,0,"RT @BetTzedek: Our 2019 Annual Gala Dinner is under way!!! Welcome to a few of tonight's honorees: @btprez, David Brooks of @BankofAmerica,…"
134,15005524,2,"RT @truthsearch1957: 5) Our case has always had clear and convincing evidence of Fraud by Cohn, PSKLLC, &amp; Dyck-O'Neal. @BankofAmerica sent…"
135,15000236,0,@Legalator @StayHomeAmerica @WFB_Fraud @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK… https://t.co/95OddZ6VI8
136,15000657,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
137,15001805,0,Need access to my money and @BankofAmerica blocked my card for no reason. Called and approx wait time was 11m. I wa… https://t.co/EIer7D1yLo
138,15001057,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
139,15002036,0,@BankScrewedUs @BankofAmerica Interesting! Thanks!!! <U+0001F44D><U+0001F3FC>
140,15002129,2,A great #lunarnewyear2019 celebration for 400+ @BankofAmerica employees in LA... The event showcased our firm’s ric… https://t.co/Oxg2WnT250
141,15000540,0,RT @Legalator: @StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
142,15005724,2,"5) Our case has always had clear and convincing evidence of Fraud by Cohn, PSKLLC, &amp; Dyck-O'Neal. @BankofAmerica se… https://t.co/gFsf5kQoEc"
143,15000033,0,RT @SeniorRes_SC: Thanks to our friends at @BankofAmerica for packing and delivering #MealsonWheels today. We know you brought some sunshin…
144,15002033,1,"Our #WomenforCourage luncheon is in 7 weeks! We'd like to spotlight our Presenting Sponsor, Bank of America, a glob… https://t.co/IyUa3cMBte"
145,15007013,0,@Legalator @DeboraDeMAGA @AJOKERONJACK @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224… https://t.co/4qwfUlHpmM
146,15005686,0,@hutensky @BankofAmerica @NBMAA Can’t wait to go!
147,15007389,0,RT @StayHomeAmerica: @WFB_Fraud @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
148,15008577,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
149,15002938,1,"RT @tmcf_hbcu: We're grateful for our partnership with @BankofAmerica in kicking off #allstarweekend with ""Salute to Diversity"" fundraiser…"
150,15006617,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
151,15009243,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
152,15007315,0,RT @Legalator: @DeboraDeMAGA @AJOKERONJACK @ShannonKetcher2 @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224 @Isab…
153,15009725,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
154,15003833,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
155,15004131,0,RT @Legalator: @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224 @Isabel1170 @Din_SF…
